timestamp	open	high	low	close	volume	SMA50	SMA200	EMA12	EMA26	RSI	MACD	MACD_signal	MACD_hist	upper_band	middle_band	lower_band	ADX	stoch_k	stoch_d	target
2023-07-30	0.3129	0.3181	0.3052	0.3156	60782448.0															0
2023-07-31	0.3157	0.319	0.3063	0.307	70168122.6															1
2023-08-01	0.307	0.3106	0.2948	0.3103	87820146.1															0
2023-08-02	0.3103	0.312	0.2974	0.2993	68334103.8															0
2023-08-03	0.2993	0.3014	0.2888	0.2922	99581572.7															1
2023-08-04	0.2923	0.2972	0.2902	0.2935	51367134.7															1
2023-08-05	0.2936	0.2942	0.2901	0.2938	29967210.9															0
2023-08-06	0.2938	0.2958	0.2906	0.2923	28144338.0															0
2023-08-07	0.2922	0.2961	0.2818	0.291	69256542.6															1
2023-08-08	0.291	0.3026	0.2896	0.2974	97955669.9															1
2023-08-09	0.2974	0.3023	0.296	0.3013	55701452.3															0
2023-08-10	0.3014	0.3018	0.296	0.2965	50339891.6			0.29918333333333336												0
2023-08-11	0.2965	0.2976	0.2924	0.2933	30373249.6			0.29827820512820513												0
2023-08-12	0.2934	0.2946	0.2907	0.2919	35784585.7			0.29729694280078894												0
2023-08-13	0.292	0.2936	0.2868	0.2894	49756311.8			0.2960820285237445		26.855123674911702										1
2023-08-14	0.2895	0.2927	0.2872	0.2906	39940476.2			0.2952386395200915		28.487908583577017										0
2023-08-15	0.2906	0.2911	0.2741	0.282	68128212.8			0.2932019257477697		24.30118402008829										0
2023-08-16	0.282	0.2829	0.2654	0.2747	112051659.2			0.29035547563272823		21.423089703157455								24.994466674821027	24.6796250649756	0
2023-08-17	0.2748	0.2785	0.238	0.2553	183020531.1			0.2849623255353854		15.999866304556786								24.20817097843162	24.22460227901142	1
2023-08-18	0.2552	0.2674	0.2547	0.264	127151195.7			0.2817373523760954		25.150787772314825				0.31931729536369297	0.29157	0.263822704636307		30.675954592363283	26.62619741520531	1
