timestamp	open	high	low	close	volume	SMA50	SMA200	EMA12	EMA26	RSI	MACD	MACD_signal	MACD_hist	upper_band	middle_band	lower_band	ADX	stoch_k	stoch_d	target
2023-08-21	65.25	67.31	64.34	67.0	795770.097			72.59156527799182		20.060752450830048				93.87448233393525	78.0815	62.288517666064756		32.15699581495307	29.69875202654301	0
2023-08-22	67.0	67.38	62.02	64.83	726834.414			71.39747831214693		18.505266759333516				93.11661087281485	76.946	60.77538912718515		33.19242696152751	31.36350513768672	1
2023-08-23	64.83	66.86	64.06	65.64	548642.362			70.51171241797049		20.96862903283202				92.7712330072793	76.10050000000001	59.429766992720715		34.048349002353746	33.13259059294477	0
2023-08-24	65.63	65.9	63.9	64.88	352946.421			69.6452951228981	78.355	20.347165127591495				92.34159382098537	75.2345	58.12740617901463		32.17774612937557	33.13950736441894	1
2023-08-25	64.88	65.47	63.5	65.13	400427.672			68.95063433475994	77.37537037037038	21.174768455322162				91.58029559039186	74.33500000000001	57.08970440960816		32.7590155822808	32.99503690467004	0
2023-08-26	65.13	65.59	64.9	65.01	205559.917			68.34438289864303	76.4594170096022	21.06164848769713				90.72386896921336	73.45700000000002	56.19013103078669	81.50540156835247	32.23994880224652	32.39223683796763	1
2023-08-27	65.0	65.95	64.83	65.39	232033.928			67.88986245269795	75.63946019407612	22.47403900927159				89.68757707541617	72.60200000000002	55.516422924583864	81.05612081920563	33.20556409370038	32.7348428260759	1
2023-08-28	65.39	65.76	63.97	65.52	401983.007			67.52526822920596	74.88987055007048	22.981736368036724				88.21484633927312	71.68500000000003	55.155153660726945	80.71140870865466	34.42540536354165	33.29030608649618	1
2023-08-29	65.51	70.69	64.6	68.86	953145.162			67.7306115785589	74.44321347228748	34.79630226756767				86.47354198682346	70.92400000000002	55.37445801317657	77.85168363089916	41.78208127640775	36.471016911216594	0
2023-08-30	68.85	69.03	66.5	67.65	422458.336			67.71820979724214	73.94001247434026	32.831416728904095				84.6989515016887	70.14950000000002	55.60004849831133	75.1962246301262	49.81829010169738	42.008592247215596	0
2023-08-31	67.65	68.36	63.13	63.89	688058.059			67.12925444382027	73.19556710587061	27.6133420315639				82.5653798453619	69.16500000000003	55.764620154638166	73.31474926782786	44.918943696468624	45.506438358191254	0
2023-09-01	63.88	64.25	61.83	62.98	569049.852			66.49090760630946	72.43885843136168	26.514968607776844	-5.89021646444354	-7.133533380669898	1.243316916226358	80.0609034747144	68.14050000000003	56.22009652528567	71.76559465179413	31.08935649613615	41.94219676476739	1
2023-09-02	62.98	64.75	62.95	64.59	295503.141			66.19846028226185	71.85746151052007	31.691900077583085	-5.610149076973954	-6.828856519930709	1.218707442956755	77.45432494569714	67.27400000000003	57.09367505430292	70.0893766706619	21.89985098629369	32.63605039296616	0
2023-09-03	64.58	64.91	63.57	63.93	257480.232			65.8494663926831	71.27024213937044	30.73597625062543	-5.379439310985262	-6.53897307814162	1.1595337671563577	74.0167305232201	66.36500000000004	58.71326947677996	68.45336709280465	22.61098570353651	25.20006439532212	0
2023-09-04	63.93	65.01	63.0	63.75	389301.433			65.52647156303955	70.71318716608374	30.46607507902688	-5.151738618988588	-6.261526186311014	1.1097875673224253	70.51441817190776	65.58950000000003	60.664581828092295	67.0398267127887	25.507900677200933	23.339579122343718	0
