timestamp	open	high	low	close	volume	SMA50	SMA200	EMA12	EMA26	RSI	MACD	MACD_signal	MACD_hist	upper_band	middle_band	lower_band	ADX	stoch_k	stoch_d	target
2023-07-30	242.5	243.8	240.3	242.5	255246.532															0
2023-07-31	242.6	244.5	240.5	241.0	333099.771															1
2023-08-01	241.0	247.8	237.3	247.7	813075.175															0
2023-08-02	247.8	248.8	235.7	240.7	630364.599															1
2023-08-03	240.7	242.8	238.3	241.1	303966.677															1
2023-08-04	241.1	243.4	240.2	241.7	274715.344															1
2023-08-05	241.7	243.3	240.1	243.2	176422.282															0
2023-08-06	243.3	245.5	242.8	243.2	278149.257															0
2023-08-07	243.1	244.9	239.7	242.1	302098.545															1
2023-08-08	242.0	248.0	241.5	245.2	377607.574															0
2023-08-09	245.2	245.5	242.8	243.8	294212.606															0
2023-08-10	243.9	244.1	240.5	241.5	261873.92			242.80833333333337												0
2023-08-11	241.5	242.3	238.0	239.7	287357.204			242.33012820512823												1
2023-08-12	239.8	241.4	239.3	240.3	114025.156			242.01780078895467												0
2023-08-13	240.3	241.8	239.8	240.2	132878.878			241.7381391291155		45.90747330960852										1
2023-08-14	240.2	241.5	239.7	240.4	201261.953			241.53227157079004		46.318935071991326										0
2023-08-15	240.5	240.8	234.0	236.7	397828.347			240.78884517528388		40.22321023500589										0
2023-08-16	236.8	237.4	230.7	232.0	427014.475			239.43671514831712		34.08656706883561								20.54518556857172	28.38347989254755	0
2023-08-17	232.1	232.4	212.5	218.1	1023773.861			236.15414358703757		22.939860995852033								13.844113999206392	21.293349953351704	0
2023-08-18	218.1	220.3	213.5	216.1	674545.267			233.0688907274933		21.833525052465998				254.6070505174755	238.86000000000004	223.11294948252458		11.14331460826618	15.177538058681435	1
2023-08-19	216.0	219.2	213.6	216.8	323294.673			230.56598446172512		23.22907612561028				255.90648930119818	237.57500000000005	219.2435106988019		12.676056338028173	12.554494981833585	0
2023-08-20	216.9	218.0	215.4	216.5	190457.433			228.40198685222896		23.039230291421962				256.7589686167608	236.35000000000005	215.9410313832393		11.173708920187801	11.664359955494055	0
2023-08-21	216.6	216.9	206.2	210.4	782096.622			225.6324504134245		19.541950986888054				257.10200908608164	234.48500000000004	211.86799091391845		11.142709526697692	11.664158261637892	1
2023-08-22	210.4	213.0	203.4	210.9	875925.591			223.36591958058995		20.605790299139397				257.6155990991271	232.99500000000003	208.37440090087298		13.043393121536708	11.786603856140736	1
2023-08-23	210.9	218.8	210.8	216.6	646096.521			222.3250088758838		31.69385711809134				257.083877616832	231.77000000000004	206.45612238316806		20.098335387746573	14.761479345326995	1
2023-08-24	216.7	221.2	215.6	219.0	368866.011			221.81346904882477	233.3615384615385	35.761858056917056				256.1013130429184	230.63500000000005	205.1686869570817		30.116662345594552	21.08613028495928	0
2023-08-25	219.0	219.6	213.7	218.4	380692.105			221.28831996439018	232.2532763532764	35.19749608330212				254.70795913163755	229.39500000000004	204.08204086836253		37.199253398642846	29.138083710661324	0
2023-08-26	218.5	219.3	216.1	216.5	146835.271			220.551655354484	231.08636699377445	33.39998736714473				253.13503938182262	228.06000000000003	202.98496061817744	46.563586132076395	37.75997036560981	35.02529536994907	1
2023-08-27	216.4	219.8	215.9	218.4	186853.184			220.22063145379417	230.14663610534672	36.8718837030429				251.41842070698397	226.875	202.33157929301603	46.276942706217525	37.5157206911636	37.491648151805414	1
